name,remote_support,adaptive_support,description,Job level,length,test_type,url,combined_text
accounts receivable simulation new,Yes,No,simulated data entry test that measures the ability to process receivables and invoices,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,",8.0,['Simulations'],https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/,accounts receivable simulation new simulated data entry test that measures the ability to process receivables and invoices simulations adaptive no remote yes
adonet new,Yes,No,multichoice test that measures the knowledge on the concepts of adonet architecture components and data provider objects,"Mid-Professional, Professional Individual Contributor,",10.0,['Knowledge & Skills'],https://www.shl.com/products/product-catalog/view/ado-net-new/,adonet new multichoice test that measures the knowledge on the concepts of adonet architecture components and data provider objects knowledge skills adaptive no remote yes
account manager solution,Yes,Yes,the account manager solution is an assessment used for job candidates applying to midlevel leadership positions that tend to manage the daytoday operations and activities of client accounts sample tasks for these jobs include but are not limited to communicating with clients about project status developing and maintaining project plans coordinating internally with appropriate project personnel and ensuring client expectations are being met potential job titles that use this solution are account executive account manager and senior account manager there are multiple configurations of this solution available,"Mid-Professional,",49.0,"['Competencies', 'Personality & Behavior', 'Ability & Aptitude', 'Biodata & Situational Judgement']",https://www.shl.com/products/product-catalog/view/account-manager-solution/,account manager solution the account manager solution is an assessment used for job candidates applying to midlevel leadership positions that tend to manage the daytoday operations and activities of client accounts sample tasks for these jobs include but are not limited to communicating with clients about project status developing and maintaining project plans coordinating internally with appropriate project personnel and ensuring client expectations are being met potential job titles that use this solution are account executive account manager and senior account manager there are multiple configurations of this solution available competencies personality behavior ability aptitude biodata situational judgement adaptive yes remote yes
administrative professional short form,Yes,Yes,the administrative professional solution is for entry to midlevel positions that involve routine clerical and administrative functions in addition to office management functions and customer service sample tasks for this job include but are not limited to arranging conference calls drafting correspondence scheduling meetings greeting visitors coordinating office activities potential job titles that use this solution are administrative assistant secretary office manager administrative aide and administrative associate,"Entry-Level,",36.0,"['Ability & Aptitude', 'Knowledge & Skills', 'Personality & Behavior']",https://www.shl.com/products/product-catalog/view/administrative-professional-short-form/,administrative professional short form the administrative professional solution is for entry to midlevel positions that involve routine clerical and administrative functions in addition to office management functions and customer service sample tasks for this job include but are not limited to arranging conference calls drafting correspondence scheduling meetings greeting visitors coordinating office activities potential job titles that use this solution are administrative assistant secretary office manager administrative aide and administrative associate ability aptitude knowledge skills personality behavior adaptive yes remote yes
agency manager solution,Yes,Yes,the agency manager solution is for midlevel sales management positions that include front line management and sales responsibilities sample tasks for this job include but are not limited to directing and coordinating financial activities of workers in a branch office or department of an establishment such as branch bank brokerage firm risk and insurance department or credit department potential job titles that use this solution are agency manager brokerage manager multiple configurations of this solution are available,"Front Line Manager, Manager, Supervisor,",51.0,"['Ability & Aptitude', 'Biodata & Situational Judgement', 'Personality & Behavior', 'Simulations']",https://www.shl.com/products/product-catalog/view/agency-manager-solution/,agency manager solution the agency manager solution is for midlevel sales management positions that include front line management and sales responsibilities sample tasks for this job include but are not limited to directing and coordinating financial activities of workers in a branch office or department of an establishment such as branch bank brokerage firm risk and insurance department or credit department potential job titles that use this solution are agency manager brokerage manager multiple configurations of this solution are available ability aptitude biodata situational judgement personality behavior simulations adaptive yes remote yes
apprentice 80 job focused assessment,Yes,No,the apprentice 80 jobfocused assessment is a short targeted globally applicable assessment which includes a short cognitive ability measure this assessment is designed for entrylevel positions appropriate for countries and industries that use an apprenticeship model it is intended to be used multinationally for organisations whose business spans across regions,"General Population, Graduate, Entry-Level,",30.0,"['Biodata & Situational Judgement', 'Personality & Behavior']",https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,apprentice 80 job focused assessment the apprentice 80 jobfocused assessment is a short targeted globally applicable assessment which includes a short cognitive ability measure this assessment is designed for entrylevel positions appropriate for countries and industries that use an apprenticeship model it is intended to be used multinationally for organisations whose business spans across regions biodata situational judgement personality behavior adaptive no remote yes
apprentice 80 job focused assessment,Yes,No,the apprentice 80 jobfocused assessment is a short targeted globally applicable assessment this assessment is designed for entrylevel positions appropriate for countries and industries that use an apprenticeship model it is intended to be used multinationally for organizations whose business spans across regions,"Entry-Level, General Population, Graduate,",20.0,"['Biodata & Situational Judgement', 'Personality & Behavior']",https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,apprentice 80 job focused assessment the apprentice 80 jobfocused assessment is a short targeted globally applicable assessment this assessment is designed for entrylevel positions appropriate for countries and industries that use an apprenticeship model it is intended to be used multinationally for organizations whose business spans across regions biodata situational judgement personality behavior adaptive no remote yes
bank administrative assistant short form,Yes,No,the administrative assistant solution is for entrylevel clerical positions that interact with external or internal customers sample tasks for these jobs include but are not limited to answering telephones managing files and records sorting mail greeting customers and collaborating with coworkers on projects potential job titles that use this solution are receptionist and administrative assistant there are multiple configurations of this solution available,"Entry-Level,",35.0,"['Ability & Aptitude', 'Biodata & Situational Judgement', 'Knowledge & Skills', 'Personality & Behavior']",https://www.shl.com/products/product-catalog/view/bank-administrative-assistant-short-form/,bank administrative assistant short form the administrative assistant solution is for entrylevel clerical positions that interact with external or internal customers sample tasks for these jobs include but are not limited to answering telephones managing files and records sorting mail greeting customers and collaborating with coworkers on projects potential job titles that use this solution are receptionist and administrative assistant there are multiple configurations of this solution available ability aptitude biodata situational judgement knowledge skills personality behavior adaptive no remote yes
bank collections agent short form,Yes,No,this solution is for entrylevel collections positions in an inbound or outbound call center environment in a financial setting candidates answer multiple choice questions to measure achievement orientation dependability collector numerical skills revenue recovery customer focus and persistence and planfulness there are multiple configurations and versions of this solution available,"Entry-Level,",45.0,"['Ability & Aptitude', 'Biodata & Situational Judgement', 'Personality & Behavior']",https://www.shl.com/products/product-catalog/view/bank-collections-agent-short-form/,bank collections agent short form this solution is for entrylevel collections positions in an inbound or outbound call center environment in a financial setting candidates answer multiple choice questions to measure achievement orientation dependability collector numerical skills revenue recovery customer focus and persistence and planfulness there are multiple configurations and versions of this solution available ability aptitude biodata situational judgement personality behavior adaptive no remote yes
bank operations supervisor short form,Yes,Yes,the bank operations supervisor solution is for job candidates applying to entrylevel leadership positions who tend to supervise hourly employees sample tasks for these jobs include but are not limited to planning and preparing work schedules assigning employees to specific duties coaching employees on attendance conduct schedule adherence and work tasks developing employees skills training subordinates prioritizing multiple tasks and priorities and making daytoday decisions with minimal guidance from others potential job titles that use this solution are team leader first line supervisor processing supervisor call center supervisor and customer service supervisor there are multiple configurations and versions of this solution available,"Front Line Manager, Manager, Supervisor,",45.0,"['Ability & Aptitude', 'Biodata & Situational Judgement', 'Personality & Behavior', 'Simulations']",https://www.shl.com/products/product-catalog/view/bank-operations-supervisor-short-form/,bank operations supervisor short form the bank operations supervisor solution is for job candidates applying to entrylevel leadership positions who tend to supervise hourly employees sample tasks for these jobs include but are not limited to planning and preparing work schedules assigning employees to specific duties coaching employees on attendance conduct schedule adherence and work tasks developing employees skills training subordinates prioritizing multiple tasks and priorities and making daytoday decisions with minimal guidance from others potential job titles that use this solution are team leader first line supervisor processing supervisor call center supervisor and customer service supervisor there are multiple configurations and versions of this solution available ability aptitude biodata situational judgement personality behavior simulations adaptive yes remote yes
bilingual spanish reservation agent solution,Yes,Yes,the bilingual reservation agent solution is designed for customer centered entrylevel positions within the hospitality industry sample tasks may include making updating or canceling hotel reservations made in english or spanish listening to customers speak spanish and entering information into a computer in english providing information on the hotel and the services offered potential job titles that use this solution are bilingual reservation agent customer service representative and reservationist multiple configurations of this solution are available,"Entry-Level,",43.0,"['Biodata & Situational Judgement', 'Personality & Behavior', 'Simulations', 'Ability & Aptitude']",https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,bilingual spanish reservation agent solution the bilingual reservation agent solution is designed for customer centered entrylevel positions within the hospitality industry sample tasks may include making updating or canceling hotel reservations made in english or spanish listening to customers speak spanish and entering information into a computer in english providing information on the hotel and the services offered potential job titles that use this solution are bilingual reservation agent customer service representative and reservationist multiple configurations of this solution are available biodata situational judgement personality behavior simulations ability aptitude adaptive yes remote yes
bookkeeping accounting auditing clerk short form,Yes,Yes,the bookkeeping accounting and auditing clerk solution is for entrylevel positions that involve entering numerical data into computer systems and maintaining financial records sample tasks for this job include but are not limited to entering financial data into computers checking financial records for accuracy perform routine computations on financial data potential job titles that use this solution are accounting clerk bookkeeper accounting associate auditing clerk and accounts receivable clerk,"Entry-Level,",49.0,"['Personality & Behavior', 'Simulations', 'Knowledge & Skills', 'Biodata & Situational Judgement', 'Ability & Aptitude']",https://www.shl.com/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,bookkeeping accounting auditing clerk short form the bookkeeping accounting and auditing clerk solution is for entrylevel positions that involve entering numerical data into computer systems and maintaining financial records sample tasks for this job include but are not limited to entering financial data into computers checking financial records for accuracy perform routine computations on financial data potential job titles that use this solution are accounting clerk bookkeeper accounting associate auditing clerk and accounts receivable clerk personality behavior simulations knowledge skills biodata situational judgement ability aptitude adaptive yes remote yes
branch manager short form,Yes,No,this solution is for mid to upperlevel financial institution managerial positions candidates answer a series of multiple choice questions to measure management potential management judgment leadership potential team management branch manager problem solving business leadership leadership motivation interpersonal leadership self leadership and branch manager judgment there are multiple configurations and versions of this solution available,"Front Line Manager, Manager, Supervisor,",50.0,"['Ability & Aptitude', 'Biodata & Situational Judgement', 'Personality & Behavior']",https://www.shl.com/products/product-catalog/view/branch-manager-short-form/,branch manager short form this solution is for mid to upperlevel financial institution managerial positions candidates answer a series of multiple choice questions to measure management potential management judgment leadership potential team management branch manager problem solving business leadership leadership motivation interpersonal leadership self leadership and branch manager judgment there are multiple configurations and versions of this solution available ability aptitude biodata situational judgement personality behavior adaptive no remote yes
cashier solution,Yes,Yes,the cashier solution is for entrylevel retail positions in which employees receive payment in the form of cash check or credit cards for goods purchased sample tasks for these jobs include but are not limited to handling payments offering customer service and issuing receipts and refunds potential job titles that use this solution are cashier sales associate and clerk there are multiple configurations and versions of this solution available,"Entry-Level,",28.0,"['Biodata & Situational Judgement', 'Ability & Aptitude', 'Personality & Behavior']",https://www.shl.com/products/product-catalog/view/cashier-solution/,cashier solution the cashier solution is for entrylevel retail positions in which employees receive payment in the form of cash check or credit cards for goods purchased sample tasks for these jobs include but are not limited to handling payments offering customer service and issuing receipts and refunds potential job titles that use this solution are cashier sales associate and clerk there are multiple configurations and versions of this solution available biodata situational judgement ability aptitude personality behavior adaptive yes remote yes
global skills development report,Yes,No,this report is designed to be given to individuals who have completed the global skills assessment gsa with coverage across the great 8 domains this measure of selfreported behaviors offers a complete overview of their current skills participants receive actionable tips on leveraging their top skill strengths and how they might develop their growth skills,"Director, Entry-Level, Executive, General Population, Graduate, Manager, Mid-Professional, Front Line Manager, Supervisor,",,"['Ability & Aptitude', 'Assessment Exercises', 'Biodata & Situational Judgement', 'Competencies', 'Development & 360', 'Personality & Behavior']",https://www.shl.com/products/product-catalog/view/global-skills-development-report/,global skills development report this report is designed to be given to individuals who have completed the global skills assessment gsa with coverage across the great 8 domains this measure of selfreported behaviors offers a complete overview of their current skills participants receive actionable tips on leveraging their top skill strengths and how they might develop their growth skills ability aptitude assessment exercises biodata situational judgement competencies development 360 personality behavior adaptive no remote yes
net framework 45,Yes,Yes,thenet framework 45 test measures knowledge of net environment designed for experienced users this test covers the following topics application development application foundation data modeling deployment diagnostics performance portability and security,"Professional Individual Contributor, Mid-Professional,",30.0,['Knowledge & Skills'],https://www.shl.com/products/product-catalog/view/net-framework-4-5/,net framework 45 thenet framework 45 test measures knowledge of net environment designed for experienced users this test covers the following topics application development application foundation data modeling deployment diagnostics performance portability and security knowledge skills adaptive yes remote yes
net mvc new,Yes,No,multichoice test that measures the knowledge of modelviewcontroller mvc architecture validation security routing and areas,"Mid-Professional, Professional Individual Contributor,",17.0,['Knowledge & Skills'],https://www.shl.com/products/product-catalog/view/net-mvc-new/,net mvc new multichoice test that measures the knowledge of modelviewcontroller mvc architecture validation security routing and areas knowledge skills adaptive no remote yes
net mvvm new,Yes,No,multichoice test that measures the knowledge of mvvm pattern scenarios data validation viewmodel communication and quickstart,"Mid-Professional, Professional Individual Contributor,",5.0,['Knowledge & Skills'],https://www.shl.com/products/product-catalog/view/net-mvvm-new/,net mvvm new multichoice test that measures the knowledge of mvvm pattern scenarios data validation viewmodel communication and quickstart knowledge skills adaptive no remote yes
net wcf new,Yes,No,multichoice test that measures the knowledge of net fundamentals wcf architecture programming model soa managing and programming wcf,"Mid-Professional, Professional Individual Contributor,",11.0,['Knowledge & Skills'],https://www.shl.com/products/product-catalog/view/net-wcf-new/,net wcf new multichoice test that measures the knowledge of net fundamentals wcf architecture programming model soa managing and programming wcf knowledge skills adaptive no remote yes
net wpf new,Yes,No,multichoice test that measures the knowledge of net basics wpf xaml controls events layouts working with wpf windowsmenus and deploying wpf applications,"Mid-Professional, Professional Individual Contributor,",9.0,['Knowledge & Skills'],https://www.shl.com/products/product-catalog/view/net-wpf-new/,net wpf new multichoice test that measures the knowledge of net basics wpf xaml controls events layouts working with wpf windowsmenus and deploying wpf applications knowledge skills adaptive no remote yes
net xaml new,Yes,No,multichoice test that measures the knowledge of xaml triggers data binding custom controls and layouts,"Mid-Professional, Professional Individual Contributor,",5.0,['Knowledge & Skills'],https://www.shl.com/products/product-catalog/view/net-xaml-new/,net xaml new multichoice test that measures the knowledge of xaml triggers data binding custom controls and layouts knowledge skills adaptive no remote yes
accounts payable new,Yes,No,multiplechoice test that measures the knowledge of processing payables and vendor invoices and the posting of journal entries,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,",9.0,['Knowledge & Skills'],https://www.shl.com/products/product-catalog/view/accounts-payable-new/,accounts payable new multiplechoice test that measures the knowledge of processing payables and vendor invoices and the posting of journal entries knowledge skills adaptive no remote yes
accounts payable simulation new,Yes,No,simulated data entry test that measures the ability to process payables and vendor invoices,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,",8.0,['Simulations'],https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,accounts payable simulation new simulated data entry test that measures the ability to process payables and vendor invoices simulations adaptive no remote yes
accounts receivable new,Yes,No,multiplechoice test that measures the knowledge of processing receivables and invoices,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,",13.0,['Knowledge & Skills'],https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,accounts receivable new multiplechoice test that measures the knowledge of processing receivables and invoices knowledge skills adaptive no remote yes
accounts receivable simulation new,Yes,No,simulated data entry test that measures the ability to process receivables and invoices,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,",8.0,['Simulations'],https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/,accounts receivable simulation new simulated data entry test that measures the ability to process receivables and invoices simulations adaptive no remote yes
adonet new,Yes,No,multichoice test that measures the knowledge on the concepts of adonet architecture components and data provider objects,"Mid-Professional, Professional Individual Contributor,",10.0,['Knowledge & Skills'],https://www.shl.com/products/product-catalog/view/ado-net-new/,adonet new multichoice test that measures the knowledge on the concepts of adonet architecture components and data provider objects knowledge skills adaptive no remote yes
apache hadoop extensions new,Yes,No,multichoice test that measures the conceptual knowledge of pig hive and hbase,"Mid-Professional, Professional Individual Contributor,",9.0,['Knowledge & Skills'],https://www.shl.com/products/product-catalog/view/apache-hadoop-extensions-new/,apache hadoop extensions new multichoice test that measures the conceptual knowledge of pig hive and hbase knowledge skills adaptive no remote yes
apache hbase new,Yes,No,multichoice test that measures the knowledge of hbase concepts such as cap theorem acid properties hbase client api mapreduce integration configuration and administration,"Mid-Professional, Professional Individual Contributor,",5.0,['Knowledge & Skills'],https://www.shl.com/products/product-catalog/view/apache-hbase-new/,apache hbase new multichoice test that measures the knowledge of hbase concepts such as cap theorem acid properties hbase client api mapreduce integration configuration and administration knowledge skills adaptive no remote yes
apache hive new,Yes,No,multichoice test that measures the knowledge of hive architecture datatypes builtin functions configurations partitioning bucketing and commands of hive query language,"Mid-Professional, Professional Individual Contributor,",5.0,['Knowledge & Skills'],https://www.shl.com/products/product-catalog/view/apache-hive-new/,apache hive new multichoice test that measures the knowledge of hive architecture datatypes builtin functions configurations partitioning bucketing and commands of hive query language knowledge skills adaptive no remote yes
apache kafka new,Yes,No,multichoice test that measures the knowledge of apache kafka architecture components clusters performance tuning and advanced operations,"Mid-Professional, Professional Individual Contributor,",6.0,['Knowledge & Skills'],https://www.shl.com/products/product-catalog/view/apache-kafka-new/,apache kafka new multichoice test that measures the knowledge of apache kafka architecture components clusters performance tuning and advanced operations knowledge skills adaptive no remote yes
apache pig new,Yes,No,multichoice test that measures the knowledge of pig architecture builtin operators builtin functions and commands in piglatin,"Mid-Professional, Professional Individual Contributor,",6.0,['Knowledge & Skills'],https://www.shl.com/products/product-catalog/view/apache-pig-new/,apache pig new multichoice test that measures the knowledge of pig architecture builtin operators builtin functions and commands in piglatin knowledge skills adaptive no remote yes
apache spark new,Yes,No,multichoice test that measures the knowledge of apache spark principles rdd operations actions and transformations lineage graphs and lazy evaluation,"Mid-Professional, Professional Individual Contributor,",8.0,['Knowledge & Skills'],https://www.shl.com/products/product-catalog/view/apache-spark-new/,apache spark new multichoice test that measures the knowledge of apache spark principles rdd operations actions and transformations lineage graphs and lazy evaluation knowledge skills adaptive no remote yes
asp net with c new,Yes,No,multichoice test that measures the knowledge of net framework and controls c fundamentals oops concepts and advanced topics such as data access components state management and security services,"Mid-Professional, Professional Individual Contributor,",13.0,['Knowledge & Skills'],https://www.shl.com/products/product-catalog/view/asp-net-with-c-new/,asp net with c new multichoice test that measures the knowledge of net framework and controls c fundamentals oops concepts and advanced topics such as data access components state management and security services knowledge skills adaptive no remote yes
aspnet 45,Yes,Yes,the aspnet 45 test measures knowledge of programming in the aspnet environment designed for experienced developers but an average performer in this role should pass this test this test includes the following topics net framework clientside programming data access enhanced runtime features portals services and mobile security troubleshooting and optimization web applications and web forms,"Mid-Professional, Professional Individual Contributor,",30.0,['Knowledge & Skills'],https://www.shl.com/products/product-catalog/view/asp-net-4-5/,aspnet 45 the aspnet 45 test measures knowledge of programming in the aspnet environment designed for experienced developers but an average performer in this role should pass this test this test includes the following topics net framework clientside programming data access enhanced runtime features portals services and mobile security troubleshooting and optimization web applications and web forms knowledge skills adaptive yes remote yes
assessment and development center exercises,Yes,No,shl offers a comprehensive range of assessment and development centre exercise in digital format for remote assessment through our virtual assessment and development centre platformwe offer a wide range of exercise types including group exercise role plays analysis presentations and written exercisesexercises are available across a wide range of job levels and industry contextscontact shl to find out more,"Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,",,['Assessment Exercises'],https://www.shl.com/products/product-catalog/view/assessment-and-development-center-exercises/,assessment and development center exercises shl offers a comprehensive range of assessment and development centre exercise in digital format for remote assessment through our virtual assessment and development centre platformwe offer a wide range of exercise types including group exercise role plays analysis presentations and written exercisesexercises are available across a wide range of job levels and industry contextscontact shl to find out more assessment exercises adaptive no remote yes
automata fix new,Yes,No,a simulated compiler integrated test to measure debugging skills in c c and java the test checks the ability to fix logical or syntactical errors and to reuse an existing codeyour use of this assessment product may be subject to new york city law 144 regulation of the use of automated employment decision tools dated july 5 2023 compliance with law 144 is your responsibility read more on httpswwwshlcomlegalshlusregulatorycompliance,"Mid-Professional,",20.0,['Simulations'],https://www.shl.com/products/product-catalog/view/automata-fix-new/,automata fix new a simulated compiler integrated test to measure debugging skills in c c and java the test checks the ability to fix logical or syntactical errors and to reuse an existing codeyour use of this assessment product may be subject to new york city law 144 regulation of the use of automated employment decision tools dated july 5 2023 compliance with law 144 is your responsibility read more on httpswwwshlcomlegalshlusregulatorycompliance simulations adaptive no remote yes
automata sql new,Yes,No,a simulated query writing test that measures the ability to write sql queries to perform ddl dml and dcl tasks,"Mid-Professional, Professional Individual Contributor,",30.0,['Simulations'],https://www.shl.com/products/product-catalog/view/automata-sql-new/,automata sql new a simulated query writing test that measures the ability to write sql queries to perform ddl dml and dcl tasks simulations adaptive no remote yes
automata new,Yes,No,an aipowered coding simulation assessment that evaluates candidates programming ability offers a familiar ide environment available in over 40 different programming languages and tests candidates using realworld coding problemsyour use of this assessment product may be subject to new york city law 144 regulation of the use of automated employment decision tools dated july 5 2023 compliance with law 144 is your responsibility read more on httpswwwshlcomlegalshlusregulatorycompliance,"Mid-Professional, Professional Individual Contributor,",45.0,['Simulations'],https://www.shl.com/products/product-catalog/view/automata-new/,automata new an aipowered coding simulation assessment that evaluates candidates programming ability offers a familiar ide environment available in over 40 different programming languages and tests candidates using realworld coding problemsyour use of this assessment product may be subject to new york city law 144 regulation of the use of automated employment decision tools dated july 5 2023 compliance with law 144 is your responsibility read more on httpswwwshlcomlegalshlusregulatorycompliance simulations adaptive no remote yes
automata data science new,Yes,No,a simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results,"Mid-Professional, Professional Individual Contributor,",60.0,['Simulations'],https://www.shl.com/products/product-catalog/view/automata-data-science-new/,automata data science new a simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results simulations adaptive no remote yes
automata data science pro new,Yes,No,a simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results,"Professional Individual Contributor, Mid-Professional,",60.0,['Simulations'],https://www.shl.com/products/product-catalog/view/automata-data-science-pro-new/,automata data science pro new a simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results simulations adaptive no remote yes
automata front end,Yes,No,simulation based test that measures the frontend development capabilities using html css and javascript the candidate is provided with 3 different sections to code in html css and javascript respectively and a separate output section to view the output this simulation is then manually scored,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor, Manager,",30.0,['Simulations'],https://www.shl.com/products/product-catalog/view/automata-front-end/,automata front end simulation based test that measures the frontend development capabilities using html css and javascript the candidate is provided with 3 different sections to code in html css and javascript respectively and a separate output section to view the output this simulation is then manually scored simulations adaptive no remote yes
automata pro new,Yes,No,an aipowered coding simulation assessment that evaluates candidates programming ability offers a familiar ide environment available in over 40 different programming languages and tests candidates using realworld coding problemsyour use of this assessment product may be subject to new york city law 144 regulation of the use of automated employment decision tools dated july 5 2023 compliance with law 144 is your responsibility read more on httpswwwshlcomlegalshlusregulatorycompliance,"Mid-Professional, Professional Individual Contributor,",60.0,['Simulations'],https://www.shl.com/products/product-catalog/view/automata-pro-new/,automata pro new an aipowered coding simulation assessment that evaluates candidates programming ability offers a familiar ide environment available in over 40 different programming languages and tests candidates using realworld coding problemsyour use of this assessment product may be subject to new york city law 144 regulation of the use of automated employment decision tools dated july 5 2023 compliance with law 144 is your responsibility read more on httpswwwshlcomlegalshlusregulatorycompliance simulations adaptive no remote yes
automata selenium,Yes,No,a coding simulation assessment that evaluates the ability to conduct tasks related to automation testing using selenium scripts,"Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor,",60.0,['Simulations'],https://www.shl.com/products/product-catalog/view/automata-selenium/,automata selenium a coding simulation assessment that evaluates the ability to conduct tasks related to automation testing using selenium scripts simulations adaptive no remote yes
automation anywhere rpa development new,Yes,No,multichoice test that measures the knowledge of automation anywhere dash board and task editor control room key commands bots and automation anywhere client,"Mid-Professional, Professional Individual Contributor,",8.0,['Knowledge & Skills'],https://www.shl.com/products/product-catalog/view/automation-anywhere-rpa-development-new/,automation anywhere rpa development new multichoice test that measures the knowledge of automation anywhere dash board and task editor control room key commands bots and automation anywhere client knowledge skills adaptive no remote yes
automotive engineering new,Yes,No,multichoice test that measures the knowledge of auto engine classification engine fuel system autovehicle technology maintenance inspection and troubleshooting,"Graduate, Mid-Professional, Professional Individual Contributor,",13.0,['Knowledge & Skills'],https://www.shl.com/products/product-catalog/view/automotive-engineering-new/,automotive engineering new multichoice test that measures the knowledge of auto engine classification engine fuel system autovehicle technology maintenance inspection and troubleshooting knowledge skills adaptive no remote yes
